id,first_match,second_match,note
515_c,2,0,9
516_c,0,0,0
517_c,1,2,19
518_c,10,0,1
519_l,1,0,10
520_c,0,0,0
521_c,2,0,9
522_r,6,0,5
523_r,0,0,0
524_l,4,0,7
525_l,1,6,15
526_l,1,0,10
527_c,1,4,17
528_r,0,0,0
529_c,4,6,12
530_r,0,0,0
531_r,0,0,0
532_r,0,0,0
533_c,1,2,19
534_c,0,0,0
535_c,1,9,12
536_r,3,0,8
537_l,1,6,15
538_r,0,0,0
539_c,1,0,10
540_r,7,0,4
541_r,1,0,10
542_c,5,0,6
543_l,1,3,18
544_l,4,0,7
545_r,2,0,9
546_l,7,0,4
547_r,4,0,7
548_r,0,0,0
549_r,0,0,0
550_l,3,0,8
551_l,3,0,8
552_c,1,7,14
553_r,2,0,9
554_c,1,9,12
555_l,1,5,16
556_c,1,0,10
557_r,0,0,0
558_c,0,0,0
559_l,9,0,2
560_r,0,0,0
561_l,1,7,14
562_r,1,0,10
563_l,0,0,0
564_l,0,0,0
565_r,0,0,0
566_r,4,0,7
567_c,1,2,19
568_l,1,2,19
569_r,9,0,2
570_l,1,0,10
571_r,1,0,10
572_l,1,2,19
573_r,0,0,0
574_c,5,0,6
575_l,2,5,15
576_l,2,7,13
577_c,1,2,19
578_l,1,10,11
579_r,0,0,0
580_c,5,0,6
581_r,0,0,0
582_l,5,0,6
583_r,4,0,7
584_r,2,0,9
585_c,0,0,0
586_r,9,0,2
587_l,1,6,15
588_c,2,3,17
589_l,1,0,10
590_c,1,0,10
591_r,0,0,0
592_r,1,0,10
593_c,0,0,0
594_l,4,0,7
595_c,2,0,9
596_r,1,0,10
597_r,1,2,19
598_l,1,0,10
599_r,0,0,0
600_c,8,9,5
601_r,9,0,2
602_r,3,0,8
603_c,1,9,12
604_c,1,2,19
605_c,1,2,19
606_l,1,2,19
607_l,1,4,17
608_r,0,0,0
609_l,0,0,0
610_l,2,6,14
611_l,0,0,0
612_r,0,0,0
613_l,1,0,10
614_c,1,2,19
615_l,1,0,10
616_l,2,0,9
617_r,1,2,19
618_r,1,3,18
619_r,1,2,19
620_l,1,0,10
621_r,0,0,0
622_l,0,0,0
623_r,0,0,0
624_c,1,4,17
625_c,1,9,12
626_r,0,0,0
627_l,1,3,18
628_l,7,0,4
629_r,1,0,10
630_r,1,0,10
631_c,9,10,3
632_l,2,6,14
633_r,2,4,16
634_l,6,0,5
635_c,2,0,9
636_c,0,0,0
637_l,1,0,10
638_r,2,0,9
639_l,1,0,10
640_l,4,9,9
641_l,1,2,19
642_r,1,0,10
643_l,4,0,7
644_c,0,0,0
645_c,2,0,9
646_c,0,0,0
647_l,0,0,0
648_r,0,0,0
649_l,1,4,17
650_l,0,0,0
651_l,0,0,0
652_r,6,0,5
653_r,0,0,0
654_l,0,0,0
655_r,2,0,9
656_l,1,2,19
657_l,5,0,6
658_r,2,0,9
659_c,3,9,10
660_r,1,0,10
661_l,1,5,16
662_r,0,0,0
663_r,0,0,0
664_r,2,0,9
665_c,1,2,19
666_c,1,0,10
667_c,2,0,9
668_r,3,0,8
669_l,0,0,0
670_c,3,0,8
671_l,1,5,16
672_c,1,2,19
673_r,3,0,8
674_r,1,6,15
675_c,1,2,19
676_r,3,4,15
677_l,0,0,0
678_r,6,0,5
679_c,2,0,9
680_r,1,2,19
681_r,1,0,10
682_r,0,0,0
683_r,2,4,16
684_r,3,0,8
685_r,4,0,7
686_l,1,3,18
687_l,7,0,4
688_r,1,2,19
689_c,2,6,14
690_r,0,0,0
691_r,1,3,18
692_r,8,0,3
693_c,1,2,19
694_l,0,0,0
695_r,3,0,8
696_r,2,0,9
697_r,1,2,19
698_c,1,2,19
699_c,2,0,9
700_l,0,0,0
701_r,2,3,17
702_r,10,0,1
703_c,1,2,19
704_c,0,0,0
705_l,9,0,2
706_c,0,0,0
707_r,2,0,9
708_c,4,0,7
709_l,1,3,18
710_r,2,0,9
711_r,1,0,10
712_c,5,0,6
713_r,4,0,7
714_c,5,0,6
715_r,4,6,12
716_r,1,2,19
717_r,6,7,9
718_r,4,0,7
719_r,2,6,14
720_c,0,0,0
721_c,0,0,0
722_c,3,0,8
723_c,1,4,17
724_r,0,0,0
725_l,2,0,9
726_l,2,0,9
727_r,3,5,14
728_c,1,0,10
729_r,0,0,0
730_l,0,0,0
731_l,1,0,10
732_l,1,9,12
733_c,1,2,19
734_c,1,2,19
735_r,1,2,19
736_l,9,0,2
737_c,0,0,0
738_l,0,0,0
739_c,0,0,0
740_r,1,6,15
741_l,0,0,0
742_r,5,0,6
743_r,7,0,4
744_r,0,0,0
745_l,1,2,19
746_c,0,0,0
747_c,1,3,18
748_c,2,4,16
749_r,1,2,19
750_r,4,0,7
751_l,1,0,10
752_c,1,5,16
753_c,1,2,19
754_c,1,3,18
755_r,1,2,19
756_l,2,0,9
757_r,9,0,2
758_r,5,7,10
759_l,4,6,12
760_l,1,4,17
761_r,2,0,9
762_c,1,0,10
763_l,1,2,19
764_r,0,0,0
765_c,1,3,18
766_l,4,0,7
767_l,0,0,0
768_c,2,0,9
769_c,1,2,19
770_c,4,0,7
771_l,1,2,19
772_l,0,0,0
773_l,4,8,10
774_c,1,6,15
775_l,1,4,17
776_c,5,0,6
777_l,1,0,10
778_l,0,0,0
779_l,9,0,2
780_r,0,0,0
781_r,0,0,0
782_c,4,0,7
783_r,2,4,16
784_r,1,7,14
785_l,3,0,8
786_r,1,8,13
787_c,1,0,10
788_c,1,2,19
789_c,1,2,19
790_c,1,0,10
791_r,1,0,10
792_c,0,0,0
793_c,0,0,0
794_r,1,3,18
795_l,1,0,10
796_r,0,0,0
797_r,1,0,10
798_r,0,0,0
799_c,0,0,0
800_l,0,0,0
801_c,0,0,0
802_c,5,0,6
803_c,2,0,9
804_l,1,2,19
805_r,2,0,9
806_r,3,0,8
807_l,1,0,10
808_l,1,2,19
809_l,1,5,16
810_c,1,0,10
811_c,3,4,15
812_r,0,0,0
813_c,4,5,13
814_c,1,2,19
815_c,2,7,13
816_c,0,0,0
817_l,4,0,7
818_c,1,2,19
819_r,1,0,10
820_c,4,10,8
821_l,1,5,16
822_r,1,0,10
823_r,0,0,0
824_c,2,5,15
825_l,1,0,10
826_r,5,9,8
827_r,4,0,7
828_r,1,0,10
829_r,8,0,3
830_l,1,0,10
831_r,0,0,0
832_c,1,2,19
833_c,1,4,17
834_l,1,0,10
835_c,1,0,10
836_l,5,7,10
837_l,1,4,17
838_c,2,0,9
839_l,4,0,7
840_r,3,0,8
841_l,1,3,18
842_r,1,2,19
843_l,0,0,0
844_l,1,5,16
845_l,1,0,10
846_c,1,2,19
847_l,1,10,11
848_c,1,2,19
849_c,0,0,0
850_l,1,2,19
851_c,1,2,19
852_c,1,8,13
853_c,6,0,5
854_r,1,5,16
855_l,1,2,19
856_c,1,2,19
857_r,1,4,17
858_r,1,0,10
859_c,1,6,15
860_l,1,0,10
861_l,1,5,16
862_c,1,2,19
863_r,1,7,14
864_l,1,7,14
865_c,1,2,19
866_c,1,3,18
867_l,3,0,8
868_l,1,10,11
869_r,9,0,2
870_l,0,0,0
871_r,1,8,13
872_r,7,0,4
873_r,5,0,6
874_r,1,2,19
875_r,1,0,10
876_c,3,4,15
877_r,0,0,0
878_r,5,8,9
879_l,0,0,0
880_c,2,3,17
881_c,1,7,14
882_l,0,0,0
883_l,1,2,19
884_c,1,0,10
885_c,1,2,19
886_r,1,0,10
887_l,1,2,19
888_c,3,5,14
889_r,1,0,10
890_l,6,0,5
891_c,2,4,16
892_r,0,0,0
893_r,0,0,0
894_l,1,0,10
895_r,7,0,4
896_r,1,0,10
897_l,1,2,19
898_l,9,0,2
899_l,1,0,10
900_l,5,0,6
901_l,0,0,0
902_r,8,0,3
903_r,1,3,18
904_c,0,0,0
905_c,1,2,19
906_c,1,3,18
907_l,2,8,12
908_c,1,3,18
909_r,7,10,5
910_l,2,0,9
911_l,1,2,19
912_l,1,5,16
913_r,4,6,12
914_r,7,0,4
915_l,2,0,9
916_l,2,0,9
917_l,2,0,9
918_r,0,0,0
919_r,1,0,10
920_r,0,0,0
921_l,8,10,4
922_l,2,9,11
923_r,2,0,9
924_r,2,0,9
925_r,1,2,19
926_l,6,0,5
927_r,5,0,6
928_r,0,0,0
929_l,1,4,17
930_r,2,0,9
931_c,2,5,15
932_c,1,2,19
933_l,1,0,10
934_l,1,0,10
935_l,0,0,0
936_c,0,0,0
937_r,1,8,13
938_l,1,2,19
939_r,1,2,19
940_c,2,5,15
941_c,1,2,19
942_r,1,4,17
943_l,2,4,16
944_l,0,0,0
945_r,0,0,0
946_r,7,0,4
947_l,0,0,0
948_c,3,0,8
949_l,0,0,0
950_r,3,0,8
951_r,3,4,15
952_r,1,0,10
953_c,2,3,17
954_l,1,5,16
955_r,1,9,12
956_r,2,3,17
957_r,1,2,19
958_c,5,0,6
959_r,0,0,0
960_c,2,0,9
961_l,0,0,0
962_l,1,2,19
963_l,0,0,0
964_c,2,0,9
965_r,5,0,6
966_r,1,0,10
967_r,0,0,0
968_c,5,0,6
969_l,3,4,15
970_c,1,5,16
971_l,1,0,10
972_l,8,0,3
973_c,1,2,19
974_r,0,0,0
975_c,1,0,10
976_r,3,9,10
977_r,0,0,0
978_r,0,0,0
979_l,1,0,10
980_r,2,0,9
981_c,0,0,0
982_r,6,0,5
983_c,8,0,3
984_c,1,2,19
985_l,0,0,0
986_l,2,9,11
987_l,1,2,19
988_l,0,0,0
989_l,5,7,10
990_c,1,7,14
991_r,8,0,3
992_r,2,5,15
993_c,0,0,0
994_l,1,3,18
995_r,6,0,5
996_c,1,9,12
997_l,1,5,16
998_r,1,3,18
999_c,2,0,9
Conclusion,564,294,6850
